"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.602518660E-1,-1.821099043E0,1.035726666E0,4.742043495E0,5.184217199E0
3.627154820E-1,-2.119628668E0,1.349062085E0,4.539707184E0,5.188615954E0
3.651766460E-1,-2.217477322E0,1.472905993E0,4.285697937E0,5.045182310E0
3.676402610E-1,-2.252273798E0,1.629828572E0,3.905019760E0,4.793564202E0
3.701014920E-1,-2.158890009E0,1.615518093E0,3.548158646E0,4.456471088E0
3.725651070E-1,-2.142676592E0,1.551838875E0,3.167937279E0,4.127359140E0
3.750262610E-1,-1.929154634E0,1.340511918E0,2.916110039E0,3.744637174E0
3.774898860E-1,-1.745890617E0,1.131697536E0,2.710532188E0,3.416995479E0
3.799511170E-1,-1.350362539E0,9.132463932E-1,2.616616249E0,3.082884778E0
3.824147320E-1,-9.660583735E-1,6.917643547E-1,2.557507515E0,2.820044573E0
3.848759630E-1,-4.282349348E-1,3.946830034E-1,2.629499435E0,2.693218727E0
3.873395790E-1,8.611798286E-3,1.522908807E-1,2.763732910E0,2.767938994E0
3.898007180E-1,5.708510876E-1,-1.735205650E-1,2.955567360E0,3.015188016E0
3.922643330E-1,1.065615654E0,-4.518509805E-1,3.165427208E0,3.370405827E0
3.947255640E-1,1.596549749E0,-8.223733306E-1,3.486173630E0,3.921565449E0
3.971891790E-1,1.879490137E0,-1.102098942E0,3.818851471E0,4.396672811E0
3.996504100E-1,2.132563591E0,-1.365465522E0,4.213723183E0,4.916074310E0
4.021140250E-1,2.166504383E0,-1.528831482E0,4.557370186E0,5.272635959E0
4.045751790E-1,2.220568180E0,-1.591264725E0,4.833191872E0,5.551827639E0
4.070387940E-1,2.147298336E0,-1.495910168E0,5.036427498E0,5.675758920E0
4.095000250E-1,2.148492098E0,-1.353395939E0,5.046330452E0,5.649172496E0
4.119636460E-1,2.028533697E0,-1.105171680E0,4.842570305E0,5.365336948E0
4.147192850E-1,1.341917753E0,-7.422772050E-1,4.422968864E0,4.681278915E0
4.174746920E-1,1.284917831E0,-4.973271787E-1,3.975969315E0,4.207930625E0
4.202300990E-1,1.266017795E0,-3.513771594E-1,3.513069153E0,3.750722842E0
4.229855060E-1,1.284917831E0,-2.412771583E-1,3.087068558E0,3.352494710E0
4.257409130E-1,1.302017808E0,-2.363271713E-1,2.691968918E0,2.999632904E0
4.284963200E-1,1.311017752E0,-3.123771548E-1,2.307068825E0,2.671874547E0
4.312517270E-1,1.242017746E0,-4.032771587E-1,1.967019081E0,2.361017707E0
4.316628760E-1,1.204700232E0,-3.763695359E-1,1.718526840E0,2.132203362E0
4.341241070E-1,1.209556580E0,-3.087939620E-1,1.452398300E0,1.915160999E0
4.365877230E-1,9.969551563E-1,-3.846062720E-1,1.278704643E0,1.666411454E0
4.390489530E-1,1.004682779E0,-4.097073674E-1,1.192614555E0,1.612320406E0
4.415125540E-1,7.479917407E-1,-3.597829044E-1,1.201816559E0,1.460581536E0
4.439737080E-1,7.076942325E-1,-3.500076234E-1,1.375760078E0,1.586206877E0
4.464373230E-1,4.387969971E-1,-3.032659292E-1,1.644443512E0,1.728787868E0
4.488985540E-1,5.314202309E-1,-5.717976689E-1,2.714369774E0,2.824387244E0
4.513621690E-1,1.015462875E-1,-6.286864877E-1,3.342497826E0,3.402623997E0
4.538233230E-1,-1.232872605E-1,-4.883536398E-1,3.383569717E0,3.420852680E0
4.562869380E-1,-5.660827160E-1,-2.942067981E-1,3.475231171E0,3.533304257E0
4.587194570E-1,-9.416403770E-1,-1.346540749E-1,3.589206696E0,3.713115003E0
4.611520160E-1,-9.056403637E-1,2.329590917E-2,3.661207199E0,3.771626350E0
4.636730150E-1,-7.910534143E-1,2.172247767E-1,3.817144394E0,3.904298072E0
4.661366220E-1,-6.811543107E-1,1.543563306E-1,4.090886116E0,4.150077865E0
4.685977760E-1,-1.239084005E-1,-2.045267820E-2,4.068791389E0,4.070729047E0
4.710613910E-1,-4.174351692E-3,-5.069571733E-2,3.823374748E0,3.823713110E0
4.735226220E-1,-1.357836723E-1,-3.348439932E-2,3.512355804E0,3.515138931E0
4.759862270E-1,-7.347503901E-1,2.300286293E-2,3.291227341E0,3.372323335E0
4.784474580E-1,-1.063574910E0,9.203583002E-2,3.071113586E0,3.251369072E0
4.809110730E-1,-1.418582797E0,4.987457395E-2,3.391931534E0,3.676963986E0
4.833722270E-1,-1.362089634E0,7.092392445E-2,2.874563217E0,3.181734128E0
4.858358430E-1,-1.249540329E0,1.252289414E-1,2.659581184E0,2.941157153E0
4.882970880E-1,-9.889001846E-1,1.421496868E-1,2.434241295E0,2.631285007E0
4.907607040E-1,-8.633861542E-1,1.427645683E-1,2.259833336E0,2.423358017E0
4.932218580E-1,-8.597078323E-1,9.672570229E-2,2.113333702E0,2.283557040E0
4.956854730E-1,-1.110830903E0,1.006029844E-1,2.085455894E0,2.364993138E0
4.981467040E-1,-1.120697498E0,1.605309248E-1,2.139986992E0,2.421007515E0
5.006103230E-1,-1.271139383E0,1.457976699E-1,2.270026207E0,2.605776520E0
5.030715540E-1,-9.684687853E-1,2.795696855E-1,2.372632980E0,2.577882514E0
5.055351690E-1,-6.842697859E-1,3.832302094E-1,2.449213028E0,2.571718295E0
5.079963230E-1,-3.072688580E-1,6.026723981E-1,2.520992279E0,2.610178201E0
5.104599390E-1,-1.585721970E-2,7.529944777E-1,2.600476265E0,2.707347214E0
5.129211740E-1,2.984592915E-1,9.034176469E-1,2.679322243E0,2.843239187E0
5.153847900E-1,5.279991627E-1,1.016519904E0,2.707704544E0,2.940027165E0
5.178460210E-1,7.260346413E-1,1.046888590E0,2.714647293E0,2.998735058E0
5.203096360E-1,8.830106258E-1,1.134496331E0,2.618667603E0,2.987341578E0
5.227707900E-1,1.032743692E0,1.277552128E0,2.436868668E0,2.938882079E0
5.252344100E-1,1.120951176E0,1.409500122E0,2.179610252E0,2.827352646E0
5.276956410E-1,1.180303574E0,1.527986407E0,1.882922173E0,2.696897272E0
5.301592560E-1,1.171421051E0,1.590614557E0,1.608339310E0,2.547358884E0
5.326204100E-1,1.151346207E0,1.657352448E0,1.359831810E0,2.433425112E0
5.350840260E-1,1.133840561E0,1.709913969E0,1.092172623E0,2.324272195E0
5.375452700E-1,1.118273020E0,1.797494888E0,8.439512253E-1,2.278985759E0
5.400088860E-1,1.112922192E0,1.889874220E0,6.298799515E-1,2.281878420E0
5.424701160E-1,1.029726744E0,2.102330685E0,4.109811783E-1,2.376770288E0
5.449337320E-1,1.018048286E0,2.316112995E0,1.871309280E-1,2.536891741E0
5.473948860E-1,8.915400505E-1,2.570461512E0,2.164268494E-2,2.720769092E0
5.498585110E-1,8.017454147E-1,2.810948133E0,-1.383800507E-1,2.926324343E0
